Key,Value
[File: PATH-/usr/local/x86_64-portbld-freebsd12.0/lib/ldscripts/elf_i386.xd]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/subversion/bdb/erase-all-text-data.py]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/icons/adwaita/24x24/actions/insert-image.png]->FILE_READ->[Any],3
[File: PATH-/usr/local/share/icons/adwaita/22x22/status/battery-full-charged.png]->FILE_READ->[Any],3
[File: PATH-/usr/local/x86_64-portbld-freebsd12.0/lib/ldscripts/elf_i386_nacl.xdwe]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/icons/adwaita/scalable/actions/document-save-as-symbolic.svg]->FILE_READ->[Any],2
[File: PATH-/usr/local/lib/perl5/5.24/perl/man/man1/perlguts.1.gz]->FILE_READ->[Any],2
[File: PATH-/usr/local/share/doc/imap-uw/rfc/rfc4315.txt]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/java/zi/asia/tokyo]->FILE_READ->[Any],2
[File: PATH-/usr/local/share/cups/templates/pt_br/command.tmpl]->FILE_READ->[Any],2
[File: PATH-/usr/local/man/man3/gnutls_pkcs11_deinit.3.gz]->FILE_READ->[Any],2
[File: PATH-/usr/local/lib/python2.7/distutils/command/bdist_wininst.pyo]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/emacs/25.3/etc/images/icons/allout-widgets/dark-bg/leaf.png]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/icons/adwaita/32x32/categories/applications-office.png]->FILE_READ->[Any],2
[File: PATH-/usr/local/lib/python2.7/distutils/tests/test_bdist_msi.pyo]->FILE_READ->[Any],1
[File: PATH-/usr/local/include/nettle/pkcs1.h]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python2.7/email/test/data/msg_08.txt]->FILE_READ->[Any],1
[File: PATH-/usr/local/man/man8/error.8.gz]->FILE_READ->[Any],1
[File: PATH-/usr/local/etc/asciidoc/images/icons/callouts/6.png]->FILE_READ->[Any],2
[File: PATH-/usr/local/man/man1/rpdump.1.gz]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/perl5/5.24/perl/man/man1/perl5163delta.1.gz]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/xml/xmlcharent/iso-dia.ent]->FILE_READ->[Any],1
[File: PATH-/usr/local/include/boost/compute/algorithm/detail/reduce_on_cpu.hpp]->FILE_READ->[Any],1
[File: PATH-/usr/local/include/gtk-3.0/gdk/x11/gdkx11utils.h]->FILE_READ->[Any],1
[File: PATH-/usr/local/man/man3/xcb_copy_colormap_and_free.3.gz]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python2.7/fnmatch.pyo]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/locale/pt_br/lc_messages/ecpg-9.5.mo]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/vim/vim80/doc/autocmd.txt]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/icons/adwaita/24x24/devices/audio-input-microphone.png]->FILE_READ->[Any],3
[File: PATH-/usr/local/lib/gcc6/include/c++/javax/print/attribute/docattributeset.h]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/emacs/25.3/lisp/net/soap-inspect.el.gz]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/ri/2.4/system/csv/table/headers-i.ri]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/aspell/texinfo.amf]->FILE_READ->[Any],2
[File: PATH-/usr/local/share/vim/vim80/keymap/readme.txt]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python2.7/site-packages/urllib3/filepost.pyc]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/ri/2.4/system/openssl/x509/storecontext/purpose%3d-i.ri]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python2.7/site-packages/libcloud/loadbalancer/__init__.pyc]->FILE_READ->[Any],2
[File: PATH-/usr/local/man/man3/xselectionrequestevent.3.gz]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python2.7/site-packages/boto/route53/__init__.pyc]->FILE_READ->[Any],2
[File: PATH-/usr/local/lib/python2.7/site-packages/salt/modules/shadow.pyo]->FILE_READ->[Any],1
[File: PATH-/usr/local/include/js-17.0/gc/storebuffer.h]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/doc/ntp/extern.html]->FILE_READ->[Any],1
[File: PATH-/usr/local/include/apr-1/apr_optional_hooks.h]->FILE_READ->[Any],1
[File: PATH-/usr/local/man/man3/gnutls_x509_ext_import_key_purposes.3.gz]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/emacs/25.3/lisp/net/newst-treeview.elc]->FILE_READ->[Any],1
[File: PATH-/usr/local/man/man3/gnutls_dh_params_cpy.3.gz]->FILE_READ->[Any],3
[File: PATH-/usr/local/lib/gcc6/include/c++/java/util/timer.h]->FILE_READ->[Any],2
[File: PATH-/usr/local/share/doc/db5/gsg_txn/c/logconfig.html]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/doc/db5/api_reference/cxx/envset_data_dir.html]->FILE_READ->[Any],2
[File: PATH-/usr/local/lib/gcc6/include/c++/java/sql/driver.h]->FILE_READ->[Any],1
[File: PATH-/usr/local/man/man3/gnutls_session_get_id.3.gz]->FILE_READ->[Any],2
[File: PATH-/usr/local/lib/python3.6/test/test_codecs.py]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python3.6/test/test_tools/test_reindent.py]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/ri/2.4/system/class/inherited-i.ri]->FILE_READ->[Any],2
[File: PATH-/usr/local/share/emacs/25.3/lisp/cedet/semantic/ede-grammar.elc]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/gcc6/include/c++/javax/crypto/spec/desedekeyspec.h]->FILE_READ->[Any],2
[File: PATH-/usr/local/share/ri/2.4/system/dbm/key%3f-i.ri]->FILE_READ->[Any],2
[File: PATH-/usr/local/lib/python2.7/site-packages/boto3/exceptions.pyc]->FILE_READ->[Any],2
[File: PATH-/usr/local/include/boost/asio/detail/resolve_op.hpp]->FILE_READ->[Any],1
[File: PATH-/usr/local/include/boost/asio/detail/null_signal_blocker.hpp]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/doc/tiff/v3.6.0.html]->FILE_READ->[Any],2
[File: PATH-/usr/local/lib/imagemagick-6.9.9/modules-q16/coders/mtv.so]->FILE_READ->[Any],3
[File: PATH-/usr/local/man/man3/xsetclasshint.3.gz]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/examples/ruby24/rss/re_read.rb]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python2.7/site-packages/salt/fileserver/hgfs.pyo]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/doc/imagemagick-6/images/piechart.png]->FILE_READ->[Any],3
[File: PATH-/usr/local/share/ri/2.4/system/array/to_a-i.ri]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/icons/adwaita/32x32/emblems/emblem-shared.png]->FILE_READ->[Any],3
[File: PATH-/usr/local/lib/python2.7/site-packages/botocore/docs/bcdoc/style.pyc]->FILE_READ->[Any],2
[File: PATH-/usr/local/bin/gifinto]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/perl5/5.24/unicore/lib/dash/y.pl]->FILE_READ->[Any],1
[File: PATH-/usr/local/man/man3/vga_getpalette.3.gz]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python2.7/site-packages/salt/modules/grains.pyc]->FILE_READ->[Any],3
[File: PATH-/etc/periodic/daily/200.backup-passwd]->FILE_READ->[Any],4
[File: PATH-/usr/local/lib/gcc6/include/c++/fstream]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/icons/adwaita/22x22/emotes/face-sick.png]->FILE_READ->[Any],3
[File: PATH-/usr/local/lib/gcc6/include/c++/java/util/jar/jarexception.h]->FILE_READ->[Any],1
[File: PATH-/usr/local/x86_64-portbld-freebsd12.0/lib/ldscripts/elf_i386.xsw]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/perl5/5.24/mach/o.pm]->FILE_READ->[Any],2
[File: PATH-/usr/local/share/doc/imagemagick-6/www/magick++/future.html]->FILE_READ->[Any],3
[File: PATH-/usr/local/lib/python3.6/test/test_tools/test_pindent.py]->FILE_READ->[Any],1
[File: PATH-/usr/local/man/man5/png.5.gz]->FILE_READ->[Any],2
[File: PATH-/usr/local/lib/python2.7/distutils/tests/test_spawn.pyc]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/java/zi/america/scoresbysund]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/perl5/5.24/extutils/cbuilder/platform/windows/bcc.pm]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/doc/ntp/drivers/driver19.html]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/emacs/25.3/lisp/generic-x.elc]->FILE_READ->[Any],2
[File: PATH-/usr/local/share/doc/ntp/hints/solaris.xtra.s99ntpd]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/doc/db5/api_reference/cxx/dbget_lorder.html]->FILE_READ->[Any],1
[File: PATH-/usr/local/x86_64-portbld-freebsd12.0/lib/ldscripts/elf_iamcu.xbn]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python2.7/test/test_typechecks.pyo]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/ri/2.4/system/gem/requirement/%3d%3d%3d-i.ri]->FILE_READ->[Any],1
[File: PATH-/usr/local/x86_64-portbld-freebsd12.0/lib/ldscripts/aixrs6.xr]->FILE_READ->[Any],1
[File: PATH-/usr/local/x86_64-portbld-freebsd12.0/lib/ldscripts/elf32ppcvxworks.xswe]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/doc/imagemagick-6/www/api/magickcore/type_8c.html]->FILE_READ->[Any],2
[File: PATH-/usr/local/lib/python2.7/test/test_zipimport_support.pyo]->FILE_READ->[Any],2
[File: PATH-/usr/local/share/icons/adwaita/24x24/actions/media-eject.png]->FILE_READ->[Any],3
[File: PATH-/usr/local/lib/python2.7/test/test_complex.pyo]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/emacs/25.3/etc/images/mail/reply-from.pbm]->FILE_READ->[Any],2
[File: PATH-/usr/local/lib/python2.7/test/test_site.pyc]->FILE_READ->[Any],1
[File: PATH-/usr/local/man/man3/gnutls_pkcs7_print.3.gz]->FILE_READ->[Any],2
[File: PATH-/usr/local/share/locale/da/lc_messages/atk10.mo]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/gcc6/include/c++/tr1/functional]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/doc/ntp/html/hints/parse]->FILE_READ->[Any],1
